Event Name;Designator
Astronomical Low Tide;Z
Avalanche;Z 
Blizzard;Z 
Coastal Flood;Z 
Cold;Z
Wind Chill;Z 
Debris Flow;C
Landslide;C
Dense Fog;Z 
Dense Smoke;Z 
Drought;Z 
Dust Devil;C 
Dust Storm;Z 
Excessive Heat;Z 
Extreme Cold;Z
Wind Chill;Z 
Flash Flood;C 
Flood;C 
Frost;Z
Freeze;Z 
Funnel Cloud;C 
Freezing Fog;Z 
Hail;C 
Heat;Z 
Heavy Rain;C 
Heavy Snow;Z 
High Surf;Z 
High Wind;Z
Hurricane;Z
Typhoon;Z 
Ice Storm;Z 
Lake-Effect Snow;Z 
Lakeshore Flood;Z 
Lightning;C
Marine Hail;M 
Marine High Wind;M 
Marine Strong Wind;M 
Marine Thunderstorm Wind;M 
Rip Current;Z 
Seiche;Z 
Sleet;Z 
Storm Surge;Z
Tide;Z 
Strong Wind;Z 
Thunderstorm Wind;C 
Tornado;C 
Tropical Depression;Z 
Tropical Storm;Z 
Tsunami;Z 
Volcanic Ash;Z 
Waterspout;M 
Wildfire;Z 
Winter Storm;Z 
Winter Weather;Z
